Asia,A30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ate,S38,A4,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barranco,M6,M1,M19,A10,M7,M4,S11,M5,A26,S5,S8,S61A,S40,S41,A12,S39,S6,S36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellavista,S71,S72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breña,M1,M13,A11,A35,S18,A19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carabayllo,A27,A32,S7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catacaos,A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayma,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercado de lima,M7,M13,A14,M4,M11,A25,A32,M8,M5,A18,S18,A38,S55,S54,A2,S42,S7,S67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Colorado,M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaclacayo,A38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiclayo,M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilca,A30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorrillos,M19,M13,A14,M4,M17,A11,M10,S11,M5,A26,S5,A23,A17,S48,S49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Tallan,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ica,A32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independencia,A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Maria,M1,M19,A5,M4,M16,A27,M11,M10,M12,M8,M5,A7,A3,A15,A18,A16,S62,A20,A29,S77,A19,M21,A24,S82,A2,A31,S10,S52,S81,S68,S53,S86,,,,,,,,,,,,,,
La Molina,S1,S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Victoria,A27,S11,M8,A7,A15,A16,A19,A17,S4,S47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lince,M6,M1,A10,M7,A14,M17,M16,M11,A25,A7,A15,S69,S8,M21,A12,S39,S40,S20,S80,S78,,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalena Del Mar,M1,M19,A5,M4,M17,M2,M16,M11,A25,M22,M12,M5,A3,A20,A29,S34,S35,S64,A13,A22,A17,S20,S74,S81,A9,S45,,,,,,,,,,,,,,,,,,,,
Mala,A32,S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
